Ensembl Protein ID	Ensembl Transcript ID	Ensembl Gene ID	Associated Gene Name
ENSMUSP00000001040	ENSMUST00000001040	ENSMUSG00000001014	Icam4
ENSMUSP00000001042	ENSMUST00000001042	ENSMUSG00000001016	Ilf2
ENSMUSP00000001043	ENSMUST00000001043	ENSMUSG00000001017	Chtop
ENSMUSP00000001046	ENSMUST00000001046	ENSMUSG00000001020	S100a4
ENSMUSP00000001047	ENSMUST00000001047	ENSMUSG00000001021	S100a3
ENSMUSP00000001049	ENSMUST00000001049	ENSMUSG00000001023	S100a5
ENSMUSP00000001051	ENSMUST00000001051	ENSMUSG00000001025	S100a6
ENSMUSP00000001055	ENSMUST00000001055	ENSMUSG00000001029	Icam2
ENSMUSP00000001059	ENSMUST00000001059	ENSMUSG00000020715	Ern1
ENSMUSP00000001063	ENSMUST00000001063	ENSMUSG00000001036	Epn2
ENSMUSP00000001079	ENSMUST00000001079	ENSMUSG00000001052	Sec24b
ENSMUSP00000001080	ENSMUST00000001080	ENSMUSG00000001053	N4bp3
ENSMUSP00000001081	ENSMUST00000001081	ENSMUSG00000001054	Rmnd5b
ENSMUSP00000001092	ENSMUST00000001092	ENSMUSG00000001065	Zfp276
ENSMUSP00000001108	ENSMUST00000001108	ENSMUSG00000029106	Add1
ENSMUSP00000001109	ENSMUST00000001109	ENSMUSG00000001082	Mfsd10
ENSMUSP00000001112	ENSMUST00000001112	ENSMUSG00000052783	Grk4
ENSMUSP00000001115	ENSMUST00000001115	ENSMUSG00000074886	Grk6
ENSMUSP00000001116	ENSMUST00000001116	ENSMUSG00000001089	Luzp1
ENSMUSP00000001122	ENSMUST00000001122	ENSMUSG00000001095	Slc13a2
ENSMUSP00000001125	ENSMUST00000001125	ENSMUSG00000001098	Kctd10
ENSMUSP00000001126	ENSMUST00000001126	ENSMUSG00000020829	Slc46a1
ENSMUSP00000001127	ENSMUST00000001127	ENSMUSG00000001100	Poldip2
ENSMUSP00000001130	ENSMUST00000001130	ENSMUSG00000001103	Sebox
ENSMUSP00000001147	ENSMUST00000001147	ENSMUSG00000001119	Col6a1
ENSMUSP00000001148	ENSMUST00000001148	ENSMUSG00000001120	Pcbp3
ENSMUSP00000001155	ENSMUST00000001155	ENSMUSG00000001127	Araf
ENSMUSP00000001156	ENSMUST00000001156	ENSMUSG00000001128	Cfp
ENSMUSP00000001166	ENSMUST00000001166	ENSMUSG00000001138	Cnnm3
ENSMUSP00000001172	ENSMUST00000001172	ENSMUSG00000079610	Ankrd39
ENSMUSP00000001179	ENSMUST00000001179	ENSMUSG00000001151	Pcnt
ENSMUSP00000001181	ENSMUST00000001181	ENSMUSG00000020241	Col6a2
ENSMUSP00000001183	ENSMUST00000001183	ENSMUSG00000001155	Ftcd
ENSMUSP00000001184	ENSMUST00000001184	ENSMUSG00000001156	Mxd1
ENSMUSP00000001185	ENSMUST00000001185	ENSMUSG00000001157	Gmcl1
ENSMUSP00000001186	ENSMUST00000001186	ENSMUSG00000001158	Snrnp27
ENSMUSP00000001187	ENSMUST00000001187	ENSMUSG00000029994	Anxa4
ENSMUSP00000001202	ENSMUST00000001202	ENSMUSG00000001173	Ocrl
ENSMUSP00000001204	ENSMUST00000001204	ENSMUSG00000001175	Calm1
ENSMUSP00000001226	ENSMUST00000001226	ENSMUSG00000022436	Sh3bp1
ENSMUSP00000001240	ENSMUST00000001240	ENSMUSG00000001211	Agpat3
ENSMUSP00000001242	ENSMUST00000001242	ENSMUSG00000053329	D10Jhu81e
ENSMUSP00000001247	ENSMUST00000001247	ENSMUSG00000029130	Rnf32
ENSMUSP00000001253	ENSMUST00000001253	ENSMUSG00000020651	Slc26a4
ENSMUSP00000001254	ENSMUST00000001254	ENSMUSG00000001225	Slc26a3
ENSMUSP00000001256	ENSMUST00000001256	ENSMUSG00000001227	Sema6b
ENSMUSP00000001258	ENSMUST00000001258	ENSMUSG00000001228	Uhrf1
ENSMUSP00000001279	ENSMUST00000001279	ENSMUSG00000001247	Lsr
ENSMUSP00000001280	ENSMUST00000001280	ENSMUSG00000001248	Gramd1a
ENSMUSP00000001284	ENSMUST00000001284	ENSMUSG00000026641	Usf1
ENSMUSP00000001304	ENSMUST00000001304	ENSMUSG00000001270	Ckb
ENSMUSP00000001319	ENSMUST00000001319	ENSMUSG00000001300	Efnb2
ENSMUSP00000001326	ENSMUST00000001326	ENSMUSG00000001280	Sp1
ENSMUSP00000001327	ENSMUST00000001327	ENSMUSG00000001281	Itgb7
ENSMUSP00000001331	ENSMUST00000001331	ENSMUSG00000001285	Myg1
ENSMUSP00000001335	ENSMUST00000001335	ENSMUSG00000001289	Pfdn5
ENSMUSP00000001339	ENSMUST00000001339	ENSMUSG00000001305	Rrp15
ENSMUSP00000001347	ENSMUST00000001347	ENSMUSG00000001313	Rnd2
ENSMUSP00000001365	ENSMUST00000001365	ENSMUSG00000028811	Yars
ENSMUSP00000001384	ENSMUST00000001384	ENSMUSG00000001349	Cnn1
ENSMUSP00000001402	ENSMUST00000001402	ENSMUSG00000001366	Fbxo9
ENSMUSP00000001412	ENSMUST00000001412	ENSMUSG00000001376	Ccdc132
ENSMUSP00000001415	ENSMUST00000001415	ENSMUSG00000001379	Apbb3
ENSMUSP00000001416	ENSMUST00000001416	ENSMUSG00000001380	Hars
ENSMUSP00000001419	ENSMUST00000001419	ENSMUSG00000001383	Zmat2
ENSMUSP00000001439	ENSMUST00000001439	ENSMUSG00000001403	Ube2c
ENSMUSP00000001451	ENSMUST00000001451	ENSMUSG00000001415	Smg5
ENSMUSP00000001452	ENSMUST00000001452	ENSMUSG00000001416	Cct3
ENSMUSP00000001454	ENSMUST00000001454	ENSMUSG00000001418	0610031J06Rik
ENSMUSP00000001455	ENSMUST00000001455	ENSMUSG00000001419	Mef2d
ENSMUSP00000001456	ENSMUST00000001456	ENSMUSG00000001420	Tmem79
ENSMUSP00000001460	ENSMUST00000001460	ENSMUSG00000001424	Snd1
ENSMUSP00000001479	ENSMUST00000001479	ENSMUSG00000001440	Kpnb1
ENSMUSP00000001480	ENSMUST00000001480	ENSMUSG00000001441	Npepps
ENSMUSP00000001484	ENSMUST00000001484	ENSMUSG00000001444	Tbx21
ENSMUSP00000001485	ENSMUST00000001485	ENSMUSG00000001445	Mrpl10
ENSMUSP00000001497	ENSMUST00000001497	ENSMUSG00000022219	Cideb
ENSMUSP00000001507	ENSMUST00000001507	ENSMUSG00000001467	Cyp51
ENSMUSP00000001513	ENSMUST00000001513	ENSMUSG00000001473	Tubb6
ENSMUSP00000001520	ENSMUST00000001520	ENSMUSG00000031967	Afg3l1
ENSMUSP00000001522	ENSMUST00000001522	ENSMUSG00000001482	Def8
ENSMUSP00000001534	ENSMUST00000001534	ENSMUSG00000001494	Sost
ENSMUSP00000001536	ENSMUST00000001536	ENSMUSG00000001496	Nkx2-1
ENSMUSP00000001538	ENSMUST00000001538	ENSMUSG00000001497	Pax9
ENSMUSP00000001544	ENSMUST00000001544	ENSMUSG00000023186	Vwa5a
ENSMUSP00000001547	ENSMUST00000001547	ENSMUSG00000001506	Col1a1
ENSMUSP00000001548	ENSMUST00000001548	ENSMUSG00000001507	Itga3
ENSMUSP00000001559	ENSMUST00000001559	ENSMUSG00000001518	Itfg2
ENSMUSP00000001561	ENSMUST00000001561	ENSMUSG00000001520	Nrip2
ENSMUSP00000001562	ENSMUST00000001562	ENSMUSG00000001521	Tulp3
ENSMUSP00000001565	ENSMUST00000001565	ENSMUSG00000001524	Gtf2h4
ENSMUSP00000001566	ENSMUST00000001566	ENSMUSG00000001525	Tubb5
ENSMUSP00000001569	ENSMUST00000001569	ENSMUSG00000059714	Flot1
ENSMUSP00000001583	ENSMUST00000001583	ENSMUSG00000001542	Ell2
ENSMUSP00000001592	ENSMUST00000001592	ENSMUSG00000001552	Jup
ENSMUSP00000001595	ENSMUST00000001595	ENSMUSG00000001555	Fkbp10
ENSMUSP00000001599	ENSMUST00000001599	ENSMUSG00000001558	Klhl10
ENSMUSP00000001608	ENSMUST00000001608	ENSMUSG00000001566	Mnx1
ENSMUSP00000001611	ENSMUST00000001611	ENSMUSG00000001569	Nom1
ENSMUSP00000001620	ENSMUST00000001620	ENSMUSG00000027680	Fxr1
ENSMUSP00000001626	ENSMUST00000001626	ENSMUSG00000001583	Tnk1
ENSMUSP00000001631	ENSMUST00000001631	ENSMUSG00000001588	Acap1
ENSMUSP00000001652	ENSMUST00000001652	ENSMUSG00000021070	Bdkrb2
ENSMUSP00000001667	ENSMUST00000001667	ENSMUSG00000001622	Csn3
ENSMUSP00000001672	ENSMUST00000001672	ENSMUSG00000001627	Ifrd1
ENSMUSP00000001675	ENSMUST00000001675	ENSMUSG00000001630	Stk38l
ENSMUSP00000001699	ENSMUST00000001699	ENSMUSG00000022484	Hoxc10
ENSMUSP00000001700	ENSMUST00000001700	ENSMUSG00000001655	Hoxc13
ENSMUSP00000001701	ENSMUST00000001701	ENSMUSG00000001656	Hoxc11
ENSMUSP00000001703	ENSMUST00000001703	ENSMUSG00000001657	Hoxc8
ENSMUSP00000001706	ENSMUST00000001706	ENSMUSG00000036139	Hoxc9
ENSMUSP00000001709	ENSMUST00000001709	ENSMUSG00000022485	Hoxc5
ENSMUSP00000001711	ENSMUST00000001711	ENSMUSG00000001661	Hoxc6
ENSMUSP00000001712	ENSMUST00000001712	ENSMUSG00000020196	Cabin1
ENSMUSP00000001713	ENSMUST00000001713	ENSMUSG00000001663	Gstt1
ENSMUSP00000001715	ENSMUST00000001715	ENSMUSG00000001665	Gstt3
ENSMUSP00000001716	ENSMUST00000001716	ENSMUSG00000001666	Ddt
ENSMUSP00000001720	ENSMUST00000001720	ENSMUSG00000001670	Tat
ENSMUSP00000001722	ENSMUST00000001722	ENSMUSG00000001672	Marveld3
ENSMUSP00000001724	ENSMUST00000001724	ENSMUSG00000001674	Ddx18
ENSMUSP00000001757	ENSMUST00000001757	ENSMUSG00000001707	Eef1e1
ENSMUSP00000001780	ENSMUST00000001780	ENSMUSG00000001729	Akt1
ENSMUSP00000001790	ENSMUST00000001790	ENSMUSG00000001739	Cldn15
ENSMUSP00000001792	ENSMUST00000001792	ENSMUSG00000001741	Il16
ENSMUSP00000001801	ENSMUST00000001801	ENSMUSG00000001750	Tcirg1
ENSMUSP00000001802	ENSMUST00000001802	ENSMUSG00000001751	Naglu
ENSMUSP00000001806	ENSMUST00000001806	ENSMUSG00000001755	Coasy
ENSMUSP00000001809	ENSMUST00000001809	ENSMUSG00000022283	Pabpc1
ENSMUSP00000001812	ENSMUST00000001812	ENSMUSG00000001761	Smo
ENSMUSP00000001818	ENSMUST00000001818	ENSMUSG00000001767	Crnkl1
ENSMUSP00000001824	ENSMUST00000001824	ENSMUSG00000001773	Folh1
ENSMUSP00000001825	ENSMUST00000001825	ENSMUSG00000001774	Chordc1
ENSMUSP00000001826	ENSMUST00000001826	ENSMUSG00000043943	Naalad2
ENSMUSP00000001834	ENSMUST00000001834	ENSMUSG00000001783	Rtcb
ENSMUSP00000001836	ENSMUST00000001836	ENSMUSG00000001785	Pwp1
ENSMUSP00000001837	ENSMUST00000001837	ENSMUSG00000001786	Fbxo7
ENSMUSP00000001845	ENSMUST00000001845	ENSMUSG00000001794	Capns1
ENSMUSP00000001854	ENSMUST00000001854	ENSMUSG00000030495	Slc7a10
ENSMUSP00000001867	ENSMUST00000001867	ENSMUSG00000001815	Evx2
ENSMUSP00000001872	ENSMUST00000001872	ENSMUSG00000001819	Hoxd13
ENSMUSP00000001878	ENSMUST00000001878	ENSMUSG00000001823	Hoxd12
ENSMUSP00000001882	ENSMUST00000001882	ENSMUSG00000001827	Folr1
ENSMUSP00000001884	ENSMUST00000001884	ENSMUSG00000001829	Clpb
ENSMUSP00000001900	ENSMUST00000001900	ENSMUSG00000001844	Zdhhc4
ENSMUSP00000001920	ENSMUST00000001920	ENSMUSG00000001864	Aif1l
ENSMUSP00000001921	ENSMUST00000001921	ENSMUSG00000001865	Cpa3
ENSMUSP00000001927	ENSMUST00000001927	ENSMUSG00000001870	Ltbp1
ENSMUSP00000001950	ENSMUST00000001950	ENSMUSG00000025139	Tollip
ENSMUSP00000001963	ENSMUST00000001963	ENSMUSG00000020681	Ace
ENSMUSP00000001964	ENSMUST00000001964	ENSMUSG00000020681	Ace
ENSMUSP00000001965	ENSMUST00000001965	ENSMUSG00000001901	Kcnh6
ENSMUSP00000001974	ENSMUST00000001974	ENSMUSG00000001909	Trmt1
ENSMUSP00000001975	ENSMUST00000001975	ENSMUSG00000001910	Nacc1
ENSMUSP00000001984	ENSMUST00000001984	ENSMUSG00000007209	Ceacam9
ENSMUSP00000001989	ENSMUST00000001989	ENSMUSG00000001924	Uba1
ENSMUSP00000001995	ENSMUST00000001995	ENSMUSG00000001930	Vwf
ENSMUSP00000002007	ENSMUST00000002007	ENSMUSG00000001942	Siae
ENSMUSP00000002008	ENSMUST00000002008	ENSMUSG00000001943	Vsig2
ENSMUSP00000002011	ENSMUST00000002011	ENSMUSG00000001946	Esam
ENSMUSP00000002013	ENSMUST00000002013	ENSMUSG00000001948	Spa17
ENSMUSP00000002025	ENSMUST00000002025	ENSMUSG00000025519	Tktl2
ENSMUSP00000002029	ENSMUST00000002029	ENSMUSG00000001964	Emd
ENSMUSP00000002043	ENSMUST00000002043	ENSMUSG00000078622	Ccdc47
ENSMUSP00000002044	ENSMUST00000002044	ENSMUSG00000020700	Map3k3
ENSMUSP00000002048	ENSMUST00000002048	ENSMUSG00000001983	Taco1
ENSMUSP00000002053	ENSMUST00000002053	ENSMUSG00000001988	Npas1
ENSMUSP00000002063	ENSMUST00000002063	ENSMUSG00000001998	Ap4e1
ENSMUSP00000002064	ENSMUST00000002064	ENSMUSG00000001999	Blvra
ENSMUSP00000002073	ENSMUST00000002073	ENSMUSG00000002020	Ltbp2
ENSMUSP00000002079	ENSMUST00000002079	ENSMUSG00000031385	Plxnb3
ENSMUSP00000002080	ENSMUST00000002080	ENSMUSG00000002006	Pdzd4
ENSMUSP00000002081	ENSMUST00000002081	ENSMUSG00000002007	Srpk3
ENSMUSP00000002084	ENSMUST00000002084	ENSMUSG00000031378	Abcd1
ENSMUSP00000002087	ENSMUST00000002087	ENSMUSG00000002012	Pnck
ENSMUSP00000002090	ENSMUST00000002090	ENSMUSG00000002014	Ssr4
ENSMUSP00000002091	ENSMUST00000002091	ENSMUSG00000002015	Bcap31
ENSMUSP00000002095	ENSMUST00000002095	ENSMUSG00000002028	Kmt2a
ENSMUSP00000002099	ENSMUST00000002099	ENSMUSG00000002031	Ift46
ENSMUSP00000002100	ENSMUST00000002100	ENSMUSG00000002032	Tmem25
ENSMUSP00000002101	ENSMUST00000002101	ENSMUSG00000002033	Cd3g
ENSMUSP00000002112	ENSMUST00000002112	ENSMUSG00000002043	Trappc6a
